player_id,year_id,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating
802,2018,Louisville,ACC,SO,WR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,31.0,422.0,13.6,3.0,31.0,422.0,13.6,3.0,,,,,,,,,
802,*2019,Louisville,ACC,JR,WR,11.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,35.0,635.0,18.1,6.0,35.0,635.0,18.1,6.0,,,,,,,,,
802,2020,Louisville,ACC,SR,WR,11.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,43.0,833.0,19.4,3.0,43.0,833.0,19.4,3.0,,,,,,,,,
803,*2018,Alabama,SEC,SO,LS,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
803,*2019,Alabama,SEC,JR,LS,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
803,*2020,Alabama,SEC,SR,LS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
804,*2018,Pitt,ACC,FR,DB,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
804,*2019,Pitt,ACC,SO,DB,12.0,56.0,34.0,90.0,2.5,0.0,3.0,69.0,23.0,1.0,9.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
804,2020,Pitt,ACC,JR,DB,7.0,30.0,11.0,41.0,3.0,0.0,3.0,34.0,11.3,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
805,2017,Cincinnati,American,FR,S,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,
